drug_id,side_effect
CID100000453,Urinary retention
CID100000453,Chills
CID100000453,Skin exfoliation
CID100000453,Decreased appetite
CID100000453,Respiratory depression
CID100000453,Pulmonary congestion
CID100000453,Hypoxia
CID100000453,Fluid and electrolyte imbalance
CID100000453,Dysphonia
CID100000453,Cardiac failure
CID100000564,Gastrointestinal pain
CID100000564,Anaphylactic shock
CID100000564,Coagulopathy
CID100000564,Feeling abnormal
CID100000564,Diarrhoea
CID100000564,Dyspnoea
CID100000564,Hypersensitivity
CID100000564,Nasal congestion
CID100000564,Pruritus
CID100000564,Convulsion
CID100000564,Syncope
CID100000564,Thrombosis
CID100000564,Tinnitus
CID100000564,Blood urea increased
CID100000564,Intracranial pressure increased
CID100000564,Bradycardia
CID100000581,Anaphylactic shock
CID100000581,Asthma
CID100000581,Rash
CID100000581,Flushing
CID100000581,Gastrointestinal disorder
CID100000581,Cardiac disorder
CID100000581,Immune system disorder
CID100000581,Pharyngitis
CID100000581,Rhonchi
CID100000581,Syncope
CID100000581,Angiopathy
CID100000581,Vomiting
CID100000581,Bronchospasm
CID100000581,Thinking abnormal
CID100000581,Cold sweat
CID100000581,Face oedema
CID100000581,Sensitisation
CID100000581,Feeling hot
CID100000596,Alopecia
CID100000596,Asthenia
CID100000596,Neck pain
CID100000596,Contusion
CID100000596,Dehydration
CID100000596,Eye disorder
CID100000596,Gastrointestinal disorder
CID100000596,Haemorrhoids
CID100000596,Hyperglycaemia
CID100000596,Hypertension
CID100000596,Keratitis
CID100000596,Leukopenia
CID100000596,Nausea
CID100000596,Diplegia
CID100000596,Paraplegia
CID100000596,Monoplegia
CID100000596,Paraesthesia
CID100000596,Pneumatosis cystoides intestinalis
CID100000596,Psychotic disorder
CID100000596,Rhabdomyolysis
CID100000596,Syncope
CID100000596,Tachycardia
CID100000596,Thrombocytopenia
CID100000596,Thrombocytopenia
CID100000596,Ulcer
CID100000596,Urinary incontinence
CID100000596,Urinary tract infection
CID100000596,Urinary tract disorder
CID100000596,Weight increased
CID100000596,Altered state of consciousness
CID100000596,Cranial nerve paralysis
CID100000596,Nuchal rigidity
CID100000596,Muscular weakness
CID100000596,Malnutrition
CID100000596,Unspecified disorder of skin and subcutaneous tissue
CID100000596,Myalgia
CID100000596,Musculoskeletal discomfort
CID100000596,Memory impairment
CID100000596,Neurotoxicity
CID100000596,Leukoencephalopathy
CID100000596,Hydrocephalus
CID100000596,Mucosal inflammation
CID100000596,Lacrimation increased
CID100000596,Neuropathy peripheral
CID100000596,Respiratory distress
CID100000596,Lipase increased
CID100000596,Lipase increased
CID100000596,Cardio-respiratory arrest
CID100000596,Hypoxia
CID100000596,Febrile neutropenia
CID100000596,Allergic oedema
CID100000596,Pancytopenia
CID100000596,Somnolence
CID100000598,Decreased appetite
CID100000598,Dizziness
CID100000598,Dysgeusia
CID100000598,Dysuria
CID100000598,Extravasation
CID100000598,Fatigue
CID100000598,Headache
CID100000598,Headache
CID100000598,Haematuria
CID100000598,Hyperhidrosis
CID100000598,Hyperhidrosis
CID100000598,Nasal congestion
CID100000598,Nausea
CID100000598,Paraesthesia
CID100000598,Pneumonia
CID100000598,Rhinitis
CID100000598,Photophobia
CID100000598,Photophobia
CID100000598,Oedema peripheral
CID100000598,Injection site reaction
CID100000598,Malaise
CID100000598,Feeling abnormal
CID100000598,Musculoskeletal discomfort
CID100000598,Abdominal pain
CID100000598,Influenza like illness
CID100000598,Platelet count decreased
CID100000612,Ichthyosis
CID100000681,Vomiting
CID100000681,Vomiting
CID100000681,Ventricular arrhythmia
CID100000681,QRS complex
CID100000698,Abdominal cramps
CID100000698,Angioedema
CID100000698,Arthralgia
CID100000698,Erythema nodosum
CID100000698,Rash
CID100000698,Gallbladder disorder
CID100000698,Hypocalcaemia
CID100000698,Metrorrhagia
CID100000698,Nervousness
CID100000698,Pruritus
CID100000698,Pulmonary embolism
CID100000698,Urticaria
CID100000698,Uterine leiomyoma
CID100000698,Vaginal inflammation
CID100000698,Galactorrhoea
CID100000698,Abdominal bloating
CID100000698,Vaginal haemorrhage
CID100000699,Abdominal cramps
CID100000699,Gastrointestinal pain
CID100000699,Anxiety
CID100000699,Arthralgia
CID100000699,Musculoskeletal discomfort
CID100000699,Breast cancer
CID100000699,Dizziness
CID100000699,Erythema nodosum
CID100000699,Fatigue
CID100000699,Gastrointestinal disorder
CID100000699,Cardiac disorder
CID100000699,Hirsutism
CID100000699,Influenza
CID100000699,Irritability
CID100000699,Cramps of lower extremities
CID100000699,Leukorrhea
CID100000699,Mediastinal disorder
CID100000699,Chloasma
CID100000699,Metrorrhagia
CID100000699,Hypertonia
CID100000699,Palpitations
CID100000699,Pelvic pain
CID100000699,Porphyrin metabolism disorder
CID100000699,Pulmonary embolism
CID100000699,Sinusitis
CID100000699,Thrombophlebitis
CID100000699,Vaginal inflammation
CID100000699,Vaginal inflammation
CID100000699,Migraine
CID100000699,Injury
CID100000699,Unspecified disorder of skin and subcutaneous tissue
CID100000699,Skin disorder
CID100000699,Tenderness
CID100000699,Galactorrhoea
CID100000699,Hepatobiliary disease
CID100000699,Meningioma benign
CID100000699,Anaphylactic shock
CID100000699,Endometrial hypertrophy
CID100000699,Thrombophlebitis superficial
CID100000699,Breast enlargement
CID100000700,Necrosis
CID100000700,Pain
CID100000700,Spinal cord paralysis
CID100000727,Dizziness
CID100000727,Dizziness
CID100000727,Urticaria
CID100000727,Dermatitis contact
CID100000738,Arthralgia
CID100000738,Musculoskeletal discomfort
CID100000738,Chest pain
CID100000738,Infection
CID100000738,Dizziness
CID100000738,Fatigue
CID100000738,Calculus of kidney
CID100000738,Chills
CID100000738,Chills
CID100000738,Musculoskeletal discomfort
CID100000738,"Pneumonia due to Streptococcus, group b"
CID100000738,Enlargement abdomen
CID100000738,Crohns disease aggravated
CID100000738,Crohn's disease
CID100000750,Cardiovascular disorder
CID100000750,Coma
CID100000750,Oedema
CID100000750,Oedema
CID100000750,Hyponatraemia
CID100000750,Lung disorder
CID100000750,Rhinitis
CID100000750,Thirst
CID100000750,Thrombophlebitis
CID100000750,Vertigo
CID100000750,Hyperammonaemia
CID100000750,Fluid overload
CID100000753,Anaphylactic shock
CID100000753,Asthma
CID100000753,Cough
CID100000753,Cough
CID100000753,Cyanosis
CID100000753,Dyspnoea
CID100000753,Pallor
CID100000753,Swelling
CID100000753,Tachycardia
CID100000753,Local reaction
CID100000767,Gastrointestinal pain
CID100000767,Anxiety
CID100000767,Confusional state
CID100000767,Feeling abnormal
CID100000767,Dyspnoea
CID100000767,Hyperkalaemia
CID100000767,Hyperkalaemia
CID100000767,Hypernatraemia
CID100000767,Hypernatraemia
CID100000767,Nausea
CID100000767,Sensory loss
CID100000767,Vomiting
CID100000772,Confusional state
CID100000772,Diarrhoea
CID100000772,Oedema
CID100000772,Hyperkalaemia
CID100000772,Hypertriglyceridaemia
CID100000772,Blood triglycerides increased
CID100000772,Nausea
CID100000772,Shock
CID100000772,Thrombocytopenia
CID100000772,Urticaria
CID100000772,Oedema peripheral
CID100000772,Haemorrhage intracranial
CID100000772,Injection site pain
CID100000772,Rash pustular
CID100000772,Anaphylactoid reaction
CID100000772,Local reaction
CID100000772,Haemorrhagic anaemia
CID100000774,Abdominal pain
CID100000774,Arthralgia
CID100000774,Asthenia
CID100000774,Mental disorder
CID100000774,Cough
CID100000774,Dehydration
CID100000774,Dizziness
CID100000774,Dysgeusia
CID100000774,Dermatitis
CID100000774,Fatigue
CID100000774,Cardiac disorder
CID100000774,Hyperhidrosis
CID100000774,Hypersensitivity
CID100000774,Hypertension
CID100000774,Hypotension
CID100000774,Nervous system disorder
CID100000774,Pneumonia
CID100000774,Shock
CID100000774,Tachycardia
CID100000774,Erythema
CID100000774,Angiopathy
CID100000774,Dry mouth
CID100000774,Injection site reaction
CID100000774,Malaise
CID100000774,Feeling abnormal
CID100000774,Musculoskeletal discomfort
CID100000774,Dysgeusia
CID100000774,Injection site urticaria
CID100000774,Influenza like illness
CID100000774,Injection site erythema
CID100000785,Dermatitis contact
CID100000813,Gastrointestinal pain
CID100000813,Asthenia
CID100000813,Body temperature increased
CID100000813,Atrioventricular block
CID100000813,Apathy
CID100000813,Discomfort
CID100000813,Gastrointestinal ulcer haemorrhage
CID100000813,Abdominal discomfort
CID100000815,Paraesthesia
CID100000815,Vomiting
CID100000815,Vomiting
CID100000815,Ototoxicity
CID100000815,Paralysis
CID100000838,Contusion
CID100000838,Gastrointestinal disorder
CID100000838,Hemiplegia
CID100000838,Hypoglycaemia
CID100000838,Mydriasis
CID100000838,Nervous system disorder
CID100000838,Nervousness
CID100000838,Panic reaction
CID100000838,Panic reaction
CID100000838,Psychotic disorder
CID100000838,Psychotic disorder
CID100000838,Rales
CID100000838,Vomiting
CID100000838,Myocardial ischaemia
CID100000838,Lightheadedness
CID100000838,Excitability
CID100000838,Agitation
CID100000838,Pallor
CID100000838,Blood pressure increased
CID100000838,Drug interaction
CID100000838,Hyperhidrosis
CID100000838,Coldness
CID100000838,Insomnia
CID100000838,Injection site injury
CID100000838,Cerebral haemorrhage
CID100000853,Abdominal pain
CID100000853,Angina pectoris
CID100000853,Anxiety
CID100000853,Arrhythmia
CID100000853,Arrhythmia
CID100000853,Coma
CID100000853,Coma
CID100000853,Dermatitis
CID100000853,Body temperature increased
CID100000853,Gagging
CID100000853,Cardiac failure
CID100000853,Infertility
CID100000853,Convulsion
CID100000853,Shock
CID100000853,Hyperhidrosis
CID100000853,Tremor
CID100000853,Muscular weakness
CID100000853,Menstruation irregular
CID100000853,Increased appetite
CID100000853,Disorientation
CID100000853,Agitation
CID100000861,Phlebitis
CID100000861,Cardio-respiratory arrest
CID100000888,Body temperature decreased
CID100000888,Hyperhidrosis
CID100000888,Depressed level of consciousness
CID100000896,Arthritis
CID100000896,Infection
CID100000896,Dyspepsia
CID100000896,Gastrointestinal disorder
CID100000896,Breath odour
CID100000896,Hypocalcaemia
CID100000896,Libido increased
CID100000896,Pain in extremity
CID100000896,Polyuria
CID100000896,Prostatitis
CID100000896,Protein urine present
CID100000896,Restless legs syndrome
CID100000896,Salivary hypersecretion
CID100000896,Gastric disorder
CID100000896,Loss of consciousness
CID100000896,Shock
CID100000896,Thirst
CID100000896,Agitation
CID100000896,Stomatitis
CID100000896,Migraine
CID100000896,Abdominal pain upper
CID100000896,Disorientation
CID100000896,Memory impairment
CID100000896,Abnormal dreams
CID100000896,Oedema mouth
CID100000896,Night cramps
CID100000896,Depressed mood
CID100000896,Terminal insomnia
CID100000896,Insomnia
CID100000923,Abdominal pain
CID100000923,Extravasation
CID100000923,Faecalith
CID100000923,Hypocalcaemia
CID100000923,Hypotension
CID100000923,Intestinal perforation
CID100000923,Renal failure acute
CID100000923,Methaemoglobinaemia
CID100000923,Dizziness
CID100000923,Urticaria
CID100000923,Venous thrombosis
CID100000923,Venous thrombosis
CID100000923,Blood urea increased
CID100000923,Warmth
CID100000923,Fluid retention
CID100000923,Dysgeusia
CID100000923,Paraesthesia
CID100000923,Mucosal bleeding
CID100000937,Gastrointestinal pain
CID100000937,Arthritis
CID100000937,Arthritis
CID100000937,Bursitis
CID100000937,Dysphagia
CID100000937,Dermatitis contact
CID100000937,Diarrhoea
CID100000937,Dyspnoea
CID100000937,Eructation
CID100000937,Oesophagitis
CID100000937,Flatulence
CID100000937,Flushing
CID100000937,Furuncle
CID100000937,Gastrointestinal disorder
CID100000937,Haemorrhage
CID100000937,Hepatitis
CID100000937,Hepatomegaly
CID100000937,Herpes zoster
CID100000937,Hyperbilirubinaemia
CID100000937,Hypersensitivity
CID100000937,Hyperventilation
CID100000937,Orthostatic hypotension
CID100000937,Disturbance in sexual arousal
CID100000937,Jaundice cholestatic
CID100000937,Laryngospasm
CID100000937,Lung disorder
CID100000937,Lung disorder
CID100000937,Cystoid macular oedema
CID100000937,Nausea
CID100000937,Nervousness
CID100000937,Rhinitis
CID100000937,Shock
CID100000937,Neoplasm skin
CID100000937,Stomatitis
CID100000937,Tinnitus
CID100000937,Urticaria
CID100000937,Urticaria
CID100000937,Hypokinesia
CID100000937,Tongue oedema
CID100000937,Liver function test abnormal
CID100000937,Skin discolouration
CID100000937,Skin discolouration
CID100000937,Myalgia
CID100000937,Hepatotoxicity
CID100000937,Skin exfoliation
CID100000937,Erythema
CID100000937,Enlargement abdomen
CID100000937,Feeling hot
CID100000937,Gastrointestinal disorder
CID100000937,Sensation of warmth
CID100000937,Blood glucose increased
CID100000937,Blood uric acid increased
CID100000937,Hyperuricaemia
CID100000937,Hyperkeratosis
CID100000942,Nausea
CID100000942,Palpitations
CID100000942,Local reaction
CID100000942,Local reaction
CID100000942,Abdominal pain
CID100000942,Anaphylactic shock
CID100000942,Anxiety
CID100000942,Anxiety
CID100000942,Aphasia
CID100000942,Aphasia
CID100000942,Arrhythmia
CID100000942,Asthenia
CID100000942,Constipation
CID100000942,Cough
CID100000942,Cough
CID100000942,Cystitis
CID100000942,Dysphagia
CID100000942,Diarrhoea
CID100000942,Dyspepsia
