drug_id,Percentage,Sideview
CID100000450,0.0636943,Back pain
CID100000450,0.0636943,Back pain
CID100000450,0.0638298,Back pain
CID100000450,0.107143,Vulvovaginal mycotic infection
CID100000450,0.0,Vulvovaginal candidiasis
CID100000450,0.0277778,Vaginal moniliasis
CID100000450,0.0277778,Vulvovaginal candidiasis
CID100000450,0.0277778,Vulvovaginal mycotic infection
CID100000450,0.0307692,Neck pain
CID100000450,0.0638298,Neck pain
CID100000450,0.0,Chorea
CID100000450,0.0114943,Infection
CID100000450,0.0224719,Infection
CID100000450,0.0746269,Infection
CID100000450,0.0337079,Constipation
CID100000450,0.0666667,Constipation
CID100000450,0.0,Constipation
CID100000450,0.0254777,Constipation
CID100000450,0.0,Cyst
CID100000450,0.0,Depression
CID100000450,0.011236,Depression
CID100000450,0.03,Depression
CID100000450,0.027,Depression
CID100000450,0.0224719,Diarrhoea
CID100000450,0.0,Dizziness
CID100000450,0.0,Dizziness
CID100000450,0.0528846,Dyspepsia
CID100000450,0.0114943,Dyspepsia
CID100000450,0.0,Ear pain
CID100000450,0.0,Ear pain
CID100000450,0.0,Oedema
CID100000450,0.00704225,Endometrial hyperplasia
CID100000450,0.0449438,Rash
CID100000450,0.0674157,Dermatitis
CID100000450,0.071,Rash
CID100000450,0.01,Rash
CID100000450,0.01,Dermatitis
CID100000450,0.0574713,Rash
CID100000450,0.02,Flatulence
CID100000450,0.0222222,Flatulence
CID100000450,0.03,Flatulence
CID100000450,0.05,Flatulence
CID100000450,0.0574713,Flatulence
CID100000450,0.0229885,Gastroenteritis
CID100000450,0.105263,Headache
CID100000450,0.05,Headache
CID100000450,0.09,Headache
CID100000450,0.0,Headache
CID100000450,0.1,Headache
CID100000450,0.0638298,Headache
CID100000450,0.0,Haemoglobin
CID100000450,0.0224719,Hirsutism
CID100000450,0.0449438,Hirsutism
CID100000450,0.0,Hirsutism
CID100000450,0.0,Hirsutism
CID100000450,0.0,Hyperhidrosis
CID100000450,0.01,Hypersensitivity
CID100000450,0.0224719,Hypersensitivity
CID100000450,0.0449438,Hypersensitivity
CID100000450,0.0337079,Hypertension
CID100000450,0.0674157,Hypertension
CID100000450,0.0344828,Hypertension
CID100000450,0.0,Hypoaesthesia
CID100000450,0.0,Hypocalcaemia
CID100000450,0.001,Libido increased
CID100000450,0.0,Inflammation
CID100000450,0.101124,Influenza
CID100000450,0.02,Influenza
CID100000450,0.05,Influenza
CID100000450,0.014,Influenza
CID100000450,0.0,Jaundice cholestatic
CID100000450,0.0449438,Osteoarthritis
CID100000450,0.0,Arthropathy
CID100000450,0.0,Lethargy
CID100000450,0.01,Leukorrhea
CID100000450,0.107,Breast pain
CID100000450,0.125,Breast pain
CID100000450,0.177778,Breast pain
CID100000450,0.29,Breast pain
CID100000450,0.29,Breast pain
CID100000450,0.348315,Breast pain
CID100000450,0.0689655,Breast pain
CID100000450,0.08,Breast pain
CID100000450,0.0298507,Breast pain
CID100000450,0.0298507,Breast pain
CID100000450,0.0,Menorrhagia
